Nom,name,,Pocketbook Ultra,Pocketbook Inkpad,Pocketbook Sense by Kenzo,Pocketbook Touch Lux 2,Pocketbook Touch Lux,Pocketbook Aqua,Pocketbook Basic Touch,Pocketbook Basic 2,Pocketbook Mini,Kobo Aura H2O,Kobo Aura HD,Kobo Aura,Kobo Glo,Kobo Touch,Kobo Mini,Kindle Paperwhite 3G,Kindle Paperwhite,Kindle ,Kindle Basic,Bookeen Ocean,Bookeen HD Frontlight,Bookeen Frontlight,Bookeen 2013 Edition
Identifiant,id,,pb_ultra,pb_inkpad,pb_sense_kenzo,pb_lux2,pb_lux,pb_aqua,pb_basic_touch,pb_basic2,pb_mini,kb_aura_h2o,kb_aura_hd,kb_aura,kb_glo,kb_touch,kb_mini,kd_paperwhite_3g,kd_paperwhite,kd_kindle,kd_basic,bk_ocean,bk_hd_frontlight,bk_frontlight,bk_2013_edition
URL,url,,http://www.pocketbook-int.com/fr/products/pocketbook-ultra,http://www.pocketbook-int.com/fr/products/pocketbook-inkpad,http://www.pocketbook-int.com/fr/products/pocketbook-sense-kenzo-cover,http://www.pocketbook-int.com/fr/products/pocketbook-touch-lux-2,http://www.pocketbook-int.com/fr/products/pocketbook-touch-lux,http://www.pocketbook-int.com/fr/products/pocketbook-aqua,http://www.pocketbook-int.com/fr/products/pocketbook-basic-touch,http://www.pocketbook-int.com/fr/products/pocketbook-basic-2,http://www.pocketbook-int.com/fr/products/pocketbook-mini,http://fr.kobo.com/koboaurah2o,http://fr.kobo.com/koboaurahd,http://fr.kobo.com/koboaura,http://fr.kobo.com/koboglo,http://fr.kobo.com/kobotouch,,http://www.amazon.fr/gp/product/B00JG8GYAW/ref=kin_comp_dk_kpw_txt,http://g-ecx.images-amazon.com/images/G/08/kindle/dp/2013/famnav/FS-short-kpw._V355224441_.gif,http://www.amazon.fr/gp/product/B00KDRUCJY/ref=sv_kinc_0,http://www.amazon.fr/gp/product/B007HCCOD0/ref=sv_kinc_0,https://www.bookeen.com/fr/cybook-ocean,https://www.bookeen.com/fr/cybook-odyssey-hd-frontlight,https://www.bookeen.com/fr/cybook-odyssey-frontlight,https://www.bookeen.com/fr/cybook-odyssey-2013-edition
Actuelle,keep,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1
Image,img,,/img/pb_ultra.jpg,/img/pb_inkpad.jpg,/img/pb_sense_kenzo.jpg,/img/pb_lux2.jpg,/img/pb_lux.jpg,/img/pb_aqua.jpg,/img/pb_basic_touch.jpg,/img/pb_basic2.jpg,/img/pb_mini.jpg,/img/kb_aura_h2o.jpg,/img/kb_aura_hd.jpg,/img/kb_aura.jpg,/img/kb_glo.jpg,/img/kb_touch.jpg,/img/kb_mini.jpg,/img/kd_paperwhite_3g.jpg,/img/kd_paperwhite.jpg,/img/kd_kindle.jpg,/img/kd_basic.jpg,/img/bk_ocean.jpg,/img/bk_hd_frontlight.jpg,/img/bk_frontlight.jpg,/img/bk_2013_edition.jpg
Prix,buy,,169,179,149,99,99,119,79,59,"59,99","179,9","169,9",139,119,"79,9",59,189,129,59,59,179,"129,9","99,9","79,9"
,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile,feature-mobile,,"0,8829","0,0000","0,8865","0,7244","0,7486","0,8643","0,7641","0,7200","0,9720","0,5998","0,5381","0,8087","0,7830","0,7830","0,9999","0,7095","0,6584","0,6772","0,7670","0,1700","0,6947","0,6714","0,6947"
Sédentaire,feature-sedentaire,,"0,3487","0,9459","0,3702","0,3131","0,3239","0,3541","0,3315","0,3347","0,0032","0,6005","0,5930","0,3498","0,3379","0,3379","0,0000","0,3153","0,3153","0,3315","0,3541","0,9998","0,3433","0,3325","0,3433"
Prix,feature-prix,,"0,1537","0,0768","0,3074","0,6916","0,6916","0,5379","0,8453","0,9990","0,9914","0,0699","0,1468","0,3842","0,5379","0,8384","0,9990","0,0000","0,4611","0,9990","0,9990","0,0768","0,4542","0,6847","0,8384"
Qualité d'écran,feature-ecran,,"0,7754","0,6032","0,6643","0,6643","0,6643","0,2475","0,2475","0,2475","0,1694","0,9998","0,8887","0,6643","0,6643","0,2475","0,1694","0,7754","0,7754","0,3585","0,2475","0,0000","0,6643","0,4696","0,2475"
Interopérabilité,feature-interop,,"0,9997","0,9997","0,9997","0,9997","0,9997","0,9997","0,9997","0,6664","0,6664","0,6664","0,6664","0,6664","0,6664","0,6664","0,6664","0,0000","0,0000","0,0000","0,0000","0,9997","0,9997","0,9997","0,9997"
Boutons,feature-buttons,,"0,6249","0,9999","0,6249","0,6249","0,6249","0,6249","0,6249","0,6249","0,6249","0,2500","0,2500","0,2500","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,6249","0,6249","0,6249","0,6249","0,6249"
Commerce local,feature-local,,"0,9995","0,9995","0,9995","0,9995","0,9995","0,9995","0,9995","0,4997","0,4997","0,4997","0,4997","0,4997","0,4997","0,4997","0,4997","0,0000","0,0000","0,0000","0,0000","0,9995","0,9995","0,9995","0,9995"
Espace disque,feature-disk,,"0,9995","0,9995","0,9995","0,9995","0,9995","0,4997","0,9995","0,9995","0,4997","0,9995","0,9995","0,9995","0,4997","0,0000","0,0000","0,0000","0,0000","0,4997","0,0000","0,9995","0,4997","0,9995","0,4997"
Audio,feature-audio,,"0,9995","0,9995","0,0000","0,0000","0,9995","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
Connectivité,feature-geek,,"0,9998","0,9373","0,9373","0,9373","0,9373","0,9373","0,9373","0,1875","0,0000","0,7499","0,7499","0,7499","0,7499","0,7499","0,7499","0,9373","0,7499","0,7499","0,7499","0,3749","0,3749","0,3749","0,3749"
Résistance eau et poussière,feature-resistant,,"0,0000","0,0000","0,0000","0,0000","0,0000","0,9990","0,0000","0,0000","0,0000","0,9990","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
